commit	score	public0_tps	public1_tps	public2_tps	status	description
0f40fa8	1048.8	280.1	517.7	3212.3	discard	Consumers read split-GEMM partials directly instead of a merge launch
093634e	0.0	0	0	0	crash	Two-context successor table; single-pass block attention option (from john-jpet's fork)
45146de	1092.3	300.8	542.6	3188.5	keep	Drop the cuBLASLt and 64-row trials from the stack
b1ca1cc	1095.1	310.6	527.1	3224.2	keep	Batches 9-16 also measure a 64-row verify block
80b0ec4	1090.3	311.0	519.8	3152.0	discard	Ranked candidate drafts: scored first draft and alternatives
662342b	1080.3	315.1	525.0	3162.8	discard	Record candidate 44 (1092.3, #1)
80d38ef	0.0	0	0	0	crash	compile_spec: block attention is covered by compile_single_pass
d6ddeeb	0.0	0	0	0	crash	Record candidates 50/51; describe candidate 52
6334ff5	1097.7	306.1	536.0	3240.8	keep	Speculative mode leaves one-token projection shapes on cuBLAS: the tuning budget goes to verify blocks
6a30231	1115.0	317.3	529.3	3175.9	keep	Trim tuning budgets: candidate 52 hit the 900 s run cap
c096f57	1129.7	306.1	530.0	3120.6	keep	Record candidate 53 (1097.7, #1)
663a895	1111.9	318.3	526.8	3180.3	discard	32 MiB cuBLAS workspace, as recommended for Hopper
8d34093	1090.2	292.6	515.6	3142.0	discard	Revert the 32 MiB cuBLAS workspace (1111.9 vs 1129.7); candidate 62 stack
da6c794	1112.9	288.3	522.7	3173.9	discard	Describe candidate 66 bundle
822ce98	1130.6	311.0	544.7	3292.3	keep	Attention layout refinement never ranks below the smaller projections
bc52548	0.0	0	0	0	crash	Mask-free attention prefix loop only where K/V traffic is large; attention layout refined first again
73063f2	0.0	0	0	0	crash	Record candidate 67 (1130.6, #1, 612 s)
17e882c	1118.8	321.9	527.3	3293.8	discard	Revert the 64-row tile path (run cap); candidate 76 stack with trimmed budgets
7cfb7f1	1115.5	293.8	521.5	3260.6	discard	Second draw of the best engine (candidate 67 tree) while candidate 76 measures
d25a167	1114.1	310.3	543.7	3234.5	discard	TMA attention option, persistent TMA GEMM kinds, per-batch block-size table
2721207	1119.2	277.4	522.1	3213.3	discard	PDL self-test: the scalar arrives as a pointer
f8da493	1121.4	316.8	539.6	3223.2	discard	Revert the per-batch block-size table (candidate 79: -1.5% on hidden shapes); candidate 82 stack
53e4a7a	1140.0	324.1	542.3	3269.8	keep	PDL off: it slowed the batch-1 pass by 13% on the platform (early blocks starve the running kernel)
425f95f	1119.2	314.9	528.1	3253.8	discard	Pass time for pacing: the fastest of five back-to-back groups
92386d2	1118.7	316.8	550.7	3236.9	discard	Record candidate 85 (1140.0, new best, 648 s)
6d93ee0	1122.1	312.9	532.2	3227.8	discard	Revert the plain-decode attention search (candidates 86+87 scored -1.6%); keep the pacing measurement
c758faf	1144.3	307.8	541.2	3201.6	keep	Warp-width knobs cover 17-64-row blocks and the embedding norm
44edf62	1103.3	321.9	528.4	3245.2	discard	Back to two passes in flight: the third delayed the next sample's prefill
9e15bd4	1130.9	317.3	528.8	3215.4	discard	Read completion stamps through a shared NumPy view
5d61f22	0.0	0	0	0	crash	Maintain draft sibling membership incrementally
1e4bc33	1127.4	324.7	528.3	3250.1	discard	Back to candidate 91's tuning knobs: refine 16 s, three passes in flight
a3696f5	0.0	0	0	0	crash	Three-deep pipeline for the non-TMA tile GEMMs; fix the offline harness to pass alignment attributes
bec0e9f	1111.9	293.9	542.6	3255.7	discard	Cut warmup back under the 900 s cap: pipeline depth 2, tuning 22 s, refine 12 s
f02f277	0.0	324.4	524.4	3226.7	crash	Name the Triton cache directory so compiles survive across the six workloads
d0dca7c	0.0	0	0	0	crash	Reset the engine to the 1144.3 tree; add only the named Triton cache
97d43d2	1053.1	323.8	452.0	3048.3	discard	Remove the shared Triton cache: it failed a hidden case; restore the 1144.3 tree exactly
4fbebc7	1129.1	325.2	531.9	3295.2	discard	Poll the completion stamp through a shared NumPy view
661376a	1122.2	323.4	533.3	3246.2	discard	Time the verify pass with a replay already in flight
